METHOD - 1 ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
id,realtime_start,realtime_end,title,observation_start,observation_end,frequency,frequency_short,units,units_short,seasonal_adjustment,seasonal_adjustment_short,last_updated,popularity,group_popularity,notes,,,,,
IPX005MVS,29-08-2021,29-08-2021,Industrial Production: Durable Manufacturing Excluding Motor Vehicles & Parts,01-01-1967,01-07-2021,Monthly,M,Index 2017=100,Index 2017=100,Seasonally Adjusted,SA,17-08-2021 08:20,2,3,"The industrial production (IP) index measures the real output of all relevant establishments located in the United States, regardless of their ownership, but not those located in U.S. territories.

Source Code: IP.X005MV.S",,,,,
IPG3363S,29-08-2021,29-08-2021,Industrial Production: Manufacturing: Durable Goods: Motor Vehicle Parts (NAICS = 3363),01-01-1972,01-07-2021,Monthly,M,Index 2017=100,Index 2017=100,Seasonally Adjusted,SA,17-08-2021 08:19,2,3,"The industrial production (IP) index measures the real output of all relevant establishments located in the United States, regardless of their ownership, but not those located in U.S. territories.

NAICS = 3363

Source Code: IP.G3363.S",,,,,
IPX5421TS,29-08-2021,29-08-2021,"Industrial Production: Business Supplies Excluding Energy, Motor Vehicles & Parts, and Selected High-Tech Industries",01-01-1972,01-07-2021,Monthly,M,Index 2017=100,Index 2017=100,Seasonally Adjusted,SA,17-08-2021 08:19,2,3,"The industrial production (IP) index measures the real output of all relevant establishments located in the United States, regardless of their ownership, but not those located in U.S. territories.

Source Code: IP.X5421T.S",,,,,
IPG3362S,29-08-2021,29-08-2021,Industrial Production: Manufacturing: Durable Goods: Motor Vehicle Body and Trailer (NAICS = 3362),01-01-1972,01-07-2021,Monthly,M,Index 2017=100,Index 2017=100,Seasonally Adjusted,SA,17-08-2021 08:19,2,3,"The industrial production (IP) index measures the real output of all relevant establishments located in the United States, regardless of their ownership, but not those located in U.S. territories.

NAICS = 3362

Source Code: IP.G3362.S",,,,,
IPG336112N,29-08-2021,29-08-2021,Industrial Production: Manufacturing: Durable Goods: Light Truck and Utility Vehicle (NAICS = 336112),01-01-1972,01-07-2021,Monthly,M,Index 2017=100,Index 2017=100,Not Seasonally Adjusted,NSA,17-08-2021 08:19,2,3,"The industrial production (IP) index measures the real output of all relevant establishments located in the United States, regardless of their ownership, but not those located in U.S. territories.

NAICS = 336112

Source Code: IP.G336112.N",,,,,
IPG336112S,29-08-2021,29-08-2021,Industrial Production: Manufacturing: Durable Goods: Light Truck and Utility Vehicle (NAICS = 336112),01-01-1972,01-07-2021,Monthly,M,Index 2017=100,Index 2017=100,Seasonally Adjusted,SA,17-08-2021 08:20,2,3,"The industrial production (IP) index measures the real output of all relevant establishments located in the United States, regardless of their ownership, but not those located in U.S. territories.

NAICS = 336112

Source Code: IP.G336112.S",,,,,
B689RC1Q027SBEA,29-08-2021,29-08-2021,"Exports of goods: Capital goods, except automotive: Other",01-01-1967,01-04-2021,Quarterly,Q,Billions of Dollars,Bil. of $,Seasonally Adjusted Annual Rate,SAAR,26-08-2021 07:52,3,3,"BEA Account Code: B689RC

For more information about this series, please see http://www.bea.gov/national/.",,,,,
B641RC1Q027SBEA,29-08-2021,29-08-2021,"Exports of goods: Automotive vehicles, engines, and parts",01-01-1967,01-04-2021,Quarterly,Q,Billions of Dollars,Bil. of $,Seasonally Adjusted Annual Rate,SAAR,26-08-2021 07:52,3,3,"BEA Account Code: B641RC

For more information about this series, please see http://www.bea.gov/national/.",,,,,
A716RC1Q027SBEA,29-08-2021,29-08-2021,Motor vehicle output: Truck output,01-01-1967,01-04-2021,Quarterly,Q,Billions of Dollars,Bil. of $,Seasonally Adjusted Annual Rate,SAAR,26-08-2021 07:55,1,3,"BEA Account Code: A716RC

For more information about this series, please see http://www.bea.gov/national/.",,,,,
M0144CUSM607NNBR,29-08-2021,29-08-2021,"Automobile Production, Trucks for United States",01-01-1940,01-11-1964,Monthly,M,Thousands of Trucks,Thous. Of Trucks,Not Seasonally Adjusted,NSA,15-08-2012 15:49,1,3,"Series Is Presented Here As Three Variables--(1)--Original Data, 1913-1942 (2)--Original Data, 1940-1947 (3)--Original Data, 1940-1964. Data Represent Factory Sales. Some Changes In Classification Were Made -- Station Wagons, Ambulances, Funeral Cars, And School Buses Are Classified With Passenger Cars Or Trucks Depending On Whether The Chassis Are Designed Primarily For Passenger Cars Or Trucks Respectively; Station Wagons Are Almost Entirely Classified With Passenger Cars, While School Buses Are Classified With Trucks (In Former Series Most Of These \Special Purpose\"" Cars Were Classified With Trucks). Figures Also Include Data For Motor Coaches", Not Available Separately During The War Period. Source: U.S. Department Of Commerce, Survey Of Current Business, June 1947, P. 42, And Following Issues
,,,,,,,,,,,,,,,,,,,,
This NBER data series m01144c appears on the NBER website in Chapter 1 at http://www.nber.org/databases/macrohistory/contents/chapter01.html.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"NBER Indicator: m01144c""",,,,,,,,,,,,,,,,,,,,
IPX005MVN,29-08-2021,29-08-2021,Industrial Production: Durable Manufacturing Excluding Motor Vehicles & Parts,01-01-1967,01-07-2021,Monthly,M,Index 2017=100,Index 2017=100,Not Seasonally Adjusted,NSA,17-08-2021 08:19,1,3,"The industrial production (IP) index measures the real output of all relevant establishments located in the United States, regardless of their ownership, but not those located in U.S. territories.

Source Code: IP.X005MV.N",,,,,
IPX005MVNQ,29-08-2021,29-08-2021,Industrial Production: Durable Manufacturing Excluding Motor Vehicles & Parts,01-01-1967,01-04-2021,Quarterly,Q,Index 2017=100,Index 2017=100,Not Seasonally Adjusted,NSA,17-08-2021 08:21,1,3,"The industrial production (IP) index measures the real output of all relevant establishments located in the United States, regardless of their ownership, but not those located in U.S. territories.

Source Code: IP.X005MV.N",,,,,
IPX005MVSQ,29-08-2021,29-08-2021,Industrial Production: Durable Manufacturing Excluding Motor Vehicles & Parts,01-01-1967,01-04-2021,Quarterly,Q,Index 2017=100,Index 2017=100,Seasonally Adjusted,SA,17-08-2021 08:21,1,3,"The industrial production (IP) index measures the real output of all relevant establishments located in the United States, regardless of their ownership, but not those located in U.S. territories.

Source Code: IP.X005MV.S",,,,,
IPG3363N,29-08-2021,29-08-2021,Industrial Production: Manufacturing: Durable Goods: Motor Vehicle Parts (NAICS = 3363),01-01-1972,01-07-2021,Monthly,M,Index 2017=100,Index 2017=100,Not Seasonally Adjusted,NSA,17-08-2021 08:20,1,3,"The industrial production (IP) index measures the real output of all relevant establishments located in the United States, regardless of their ownership, but not those located in U.S. territories.

NAICS = 3363

Source Code: IP.G3363.N",,,,,
IPG3363SQ,29-08-2021,29-08-2021,Industrial Production: Manufacturing: Durable Goods: Motor Vehicle Parts (NAICS = 3363),01-01-1972,01-04-2021,Quarterly,Q,Index 2017=100,Index 2017=100,Seasonally Adjusted,SA,17-08-2021 08:21,1,3,"The industrial production (IP) index measures the real output of all relevant establishments located in the United States, regardless of their ownership, but not those located in U.S. territories.

NAICS = 3363

Source Code: IP.G3363.S",,,,,
IPX5421TN,29-08-2021,29-08-2021,"Industrial Production: Business Supplies Excluding Energy, Motor Vehicles & Parts, and Selected High-Tech Industries",01-01-1972,01-07-2021,Monthly,M,Index 2017=100,Index 2017=100,Not Seasonally Adjusted,NSA,17-08-2021 08:20,1,3,"The industrial production (IP) index measures the real output of all relevant establishments located in the United States, regardless of their ownership, but not those located in U.S. territories.

Source Code: IP.X5421T.N",,,,,
IPX5421TSQ,29-08-2021,29-08-2021,"Industrial Production: Business Supplies Excluding Energy, Motor Vehicles & Parts, and Selected High-Tech Industries",01-01-1972,01-04-2021,Quarterly,Q,Index 2017=100,Index 2017=100,Seasonally Adjusted,SA,17-08-2021 08:21,1,3,"The industrial production (IP) index measures the real output of all relevant establishments located in the United States, regardless of their ownership, but not those located in U.S. territories.

Source Code: IP.X5421T.S",,,,,
IPX5421TNQ,29-08-2021,29-08-2021,"Industrial Production: Business Supplies Excluding Energy, Motor Vehicles & Parts, and Selected High-Tech Industries",01-01-1972,01-04-2021,Quarterly,Q,Index 2017=100,Index 2017=100,Not Seasonally Adjusted,NSA,17-08-2021 08:21,1,3,"The industrial production (IP) index measures the real output of all relevant establishments located in the United States, regardless of their ownership, but not those located in U.S. territories.

Source Code: IP.X5421T.N",,,,,
IPG3362N,29-08-2021,29-08-2021,Industrial Production: Manufacturing: Durable Goods: Motor Vehicle Body and Trailer (NAICS = 3362),01-01-1972,01-07-2021,Monthly,M,Index 2017=100,Index 2017=100,Not Seasonally Adjusted,NSA,17-08-2021 08:20,1,3,"The industrial production (IP) index measures the real output of all relevant establishments located in the United States, regardless of their ownership, but not those located in U.S. territories.

NAICS = 3362

Source Code: IP.G3362.N",,,,,
IPG3362NQ,29-08-2021,29-08-2021,Industrial Production: Manufacturing: Durable Goods: Motor Vehicle Body and Trailer (NAICS = 3362),01-01-1972,01-04-2021,Quarterly,Q,Index 2017=100,Index 2017=100,Not Seasonally Adjusted,NSA,17-08-2021 08:21,1,3,"The industrial production (IP) index measures the real output of all relevant establishments located in the United States, regardless of their ownership, but not those located in U.S. territories.

NAICS = 3362

Source Code: IP.G3362.N",,,,,
IPG3362SQ,29-08-2021,29-08-2021,Industrial Production: Manufacturing: Durable Goods: Motor Vehicle Body and Trailer (NAICS = 3362),01-01-1972,01-04-2021,Quarterly,Q,Index 2017=100,Index 2017=100,Seasonally Adjusted,SA,17-08-2021 08:21,1,3,"The industrial production (IP) index measures the real output of all relevant establishments located in the United States, regardless of their ownership, but not those located in U.S. territories.

NAICS = 3362

Source Code: IP.G3362.S",,,,,
